Sl. No.,State/UT,Prevalence of anemia among all women age 15-49 years (%)
1,Andaman and Nicobar Islands,57.5
2,Andhra Pradesh,58.8
3,Arunachal Pradesh,40.3
4,Assam,65.9
5,Bihar,63.5
6,Chandigarh,60.3
7,Chhattisgarh,60.8
8,Delhi,49.9
9,Dadra and Nagar Haveli and Daman and Diu,62.5
10,Goa,39
11,Gujarat,65
12,Haryana,60.4
13,Himachal Pradesh,53
14,Jammu and Kashmir,65.9
15,Jharkhand,65.3
16,Karnataka,47.8
17,Kerala,36.3
18,Ladakh,92.8
19,Lakshadweep,25.8
20,Madhya Pradesh,54.7
21,Maharashtra,54.2
22,Manipur,29.4
23,Meghalaya,53.8
24,Mizoram,34.8
25,Nagaland,28.9
26,Odisha,64.3
27,Puducherry,55.1
28,Punjab,58.7
29,Rajasthan,54.4
30,Sikkim,42.1
31,Tamil Nadu,53.4
32,Telangana,57.6
33,Tripura,67.2
34,Uttar Pradesh,50.4
35,Uttarakhand,42.6
36,West Bengal,71.4
